market_id,year,country,cricket_region,population,acs_variable
16,2024,Jamaica,West Indies,1711,B05006_148E
16,2024,Trinidad and Tobago,West Indies,726,B05006_151E
17,2024,Australia and New Zealand Subregion,Australia & New Zealand,712,B05006_131E
17,2024,Afghanistan,South Asia,798,B05006_057E
17,2024,Bangladesh,South Asia,298,B05006_058E
17,2024,India,South Asia,38714,B05006_060E
17,2024,Nepal,South Asia,2783,B05006_063E
17,2024,Pakistan,South Asia,1649,B05006_064E
17,2024,Sri Lanka,South Asia,139,B05006_065E
17,2024,South Africa,Southern Africa,2090,B05006_117E
17,2024,Zimbabwe,Southern Africa,393,B05006_103E
17,2024,Ireland,UK & Ireland,383,B05006_005E
17,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,6971,B05006_008E
17,2024,Barbados,West Indies,482,B05006_142E
17,2024,Guyana,West Indies,1168,B05006_171E
17,2024,Jamaica,West Indies,4848,B05006_148E
17,2024,Trinidad and Tobago,West Indies,1480,B05006_151E
18,2024,Australia and New Zealand Subregion,Australia & New Zealand,1282,B05006_131E
18,2024,Afghanistan,South Asia,432,B05006_057E
18,2024,Bangladesh,South Asia,20469,B05006_058E
18,2024,India,South Asia,61618,B05006_060E
18,2024,Nepal,South Asia,814,B05006_063E
18,2024,Pakistan,South Asia,8043,B05006_064E
18,2024,Sri Lanka,South Asia,505,B05006_065E
18,2024,South Africa,Southern Africa,1220,B05006_117E
18,2024,Zimbabwe,Southern Africa,102,B05006_103E
18,2024,Ireland,UK & Ireland,555,B05006_005E
18,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,6351,B05006_008E
18,2024,Barbados,West Indies,35,B05006_142E
18,2024,Guyana,West Indies,78,B05006_171E
18,2024,Jamaica,West Indies,2943,B05006_148E
18,2024,Trinidad and Tobago,West Indies,399,B05006_151E
19,2024,Australia and New Zealand Subregion,Australia & New Zealand,999,B05006_131E
19,2024,Afghanistan,South Asia,971,B05006_057E
19,2024,Bangladesh,South Asia,1134,B05006_058E
19,2024,India,South Asia,28214,B05006_060E
19,2024,Nepal,South Asia,2404,B05006_063E
19,2024,Pakistan,South Asia,2033,B05006_064E
19,2024,Sri Lanka,South Asia,900,B05006_065E
19,2024,South Africa,Southern Africa,1100,B05006_117E
19,2024,Zimbabwe,Southern Africa,400,B05006_103E
19,2024,Ireland,UK & Ireland,831,B05006_005E
19,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,4548,B05006_008E
19,2024,Barbados,West Indies,69,B05006_142E
19,2024,Guyana,West Indies,3348,B05006_171E
19,2024,Jamaica,West Indies,908,B05006_148E
19,2024,Trinidad and Tobago,West Indies,292,B05006_151E
20,2024,Australia and New Zealand Subregion,Australia & New Zealand,2573,B05006_131E
20,2024,Afghanistan,South Asia,2022,B05006_057E
20,2024,Bangladesh,South Asia,916,B05006_058E
20,2024,India,South Asia,17950,B05006_060E
20,2024,Nepal,South Asia,3473,B05006_063E
20,2024,Pakistan,South Asia,1172,B05006_064E
20,2024,Sri Lanka,South Asia,458,B05006_065E
20,2024,South Africa,Southern Africa,1589,B05006_117E
20,2024,Zimbabwe,Southern Africa,271,B05006_103E
20,2024,Ireland,UK & Ireland,848,B05006_005E
20,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,7777,B05006_008E
20,2024,Barbados,West Indies,154,B05006_142E
20,2024,Guyana,West Indies,91,B05006_171E
20,2024,Jamaica,West Indies,1529,B05006_148E
20,2024,Trinidad and Tobago,West Indies,234,B05006_151E
21,2024,Australia and New Zealand Subregion,Australia & New Zealand,2542,B05006_131E
21,2024,Afghanistan,South Asia,5691,B05006_057E
21,2024,Bangladesh,South Asia,880,B05006_058E
21,2024,India,South Asia,28707,B05006_060E
21,2024,Nepal,South Asia,729,B05006_063E
21,2024,Pakistan,South Asia,1873,B05006_064E
21,2024,Sri Lanka,South Asia,319,B05006_065E
21,2024,South Africa,Southern Africa,3390,B05006_117E
21,2024,Zimbabwe,Southern Africa,158,B05006_103E
21,2024,Ireland,UK & Ireland,1130,B05006_005E
21,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,11315,B05006_008E
21,2024,Barbados,West Indies,73,B05006_142E
21,2024,Guyana,West Indies,350,B05006_171E
21,2024,Jamaica,West Indies,2628,B05006_148E
21,2024,Trinidad and Tobago,West Indies,626,B05006_151E
22,2024,Australia and New Zealand Subregion,Australia & New Zealand,1298,B05006_131E
22,2024,Afghanistan,South Asia,23695,B05006_057E
22,2024,Bangladesh,South Asia,815,B05006_058E
22,2024,India,South Asia,35328,B05006_060E
22,2024,Nepal,South Asia,1925,B05006_063E
22,2024,Pakistan,South Asia,6766,B05006_064E
22,2024,Sri Lanka,South Asia,670,B05006_065E
22,2024,South Africa,Southern Africa,1080,B05006_117E
22,2024,Zimbabwe,Southern Africa,422,B05006_103E
22,2024,Ireland,UK & Ireland,651,B05006_005E
22,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,6611,B05006_008E
22,2024,Barbados,West Indies,45,B05006_142E
22,2024,Guyana,West Indies,78,B05006_171E
22,2024,Jamaica,West Indies,741,B05006_148E
22,2024,Trinidad and Tobago,West Indies,386,B05006_151E
23,2024,Australia and New Zealand Subregion,Australia & New Zealand,762,B05006_131E
23,2024,Afghanistan,South Asia,768,B05006_057E
23,2024,Bangladesh,South Asia,595,B05006_058E
23,2024,India,South Asia,11201,B05006_060E
23,2024,Nepal,South Asia,721,B05006_063E
23,2024,Pakistan,South Asia,881,B05006_064E
23,2024,Sri Lanka,South Asia,89,B05006_065E
23,2024,South Africa,Southern Africa,830,B05006_117E
23,2024,Zimbabwe,Southern Africa,123,B05006_103E
23,2024,Ireland,UK & Ireland,366,B05006_005E
23,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,3221,B05006_008E
23,2024,Barbados,West Indies,0,B05006_142E
23,2024,Guyana,West Indies,207,B05006_171E
23,2024,Jamaica,West Indies,2281,B05006_148E
23,2024,Trinidad and Tobago,West Indies,165,B05006_151E
24,2024,Australia and New Zealand Subregion,Australia & New Zealand,710,B05006_131E
24,2024,Afghanistan,South Asia,862,B05006_057E
24,2024,Bangladesh,South Asia,417,B05006_058E
24,2024,India,South Asia,20407,B05006_060E
24,2024,Nepal,South Asia,852,B05006_063E
24,2024,Pakistan,South Asia,1811,B05006_064E
24,2024,Sri Lanka,South Asia,201,B05006_065E
24,2024,South Africa,Southern Africa,544,B05006_117E
24,2024,Zimbabwe,Southern Africa,208,B05006_103E
24,2024,Ireland,UK & Ireland,207,B05006_005E
24,2024,United Kingdom (inc. Crown Dependencies),UK & Ireland,3152,B05006_008E
24,2024,Barbados,West Indies,36,B05006_142E
24,2024,Guyana,West Indies,70,B05006_171E
24,2024,Jamaica,West Indies,973,B05006_148E
24,2024,Trinidad and Tobago,West Indies,306,B05006_151E
